Site,date,meanbydate,SE,Season,SW,earlyyear,seasonyear,Region,Notes,month,meanoutflow,dtoindex
Point San Quentin,12/6/2010,155.2,32.26997228,Winter,2010 W,2010,Winter 2010,Central Bay,,12,16870,Moderate
Brickyard,12/7/2010,54.4,25.931191,Winter,2010 W,2010,Winter 2010,Richardson Bay,,12,16870,Moderate
Dunphy Park,12/7/2010,NA,NA,Winter,2010 W,2010,Winter 2010,Richardson Bay,,12,16870,Moderate
Rat Rock Point,12/7/2010,NA,NA,Winter,2010 W,2010,Winter 2010,San Pablo Bay,,12,16870,Moderate
Dunphy Park,4/20/2011,NA,NA,Spring,2011 S,2011,Spring 2011,Richardson Bay,Not surveyed,4,35097,Wet
Point Orient,4/19/2011,105.6,55.12716,Spring,2011 S,2011,Spring 2011,Central Bay,Not surveyed,4,35097,Wet
Berkeley,4/19/2011,54.4,9.891859729,Spring,2011 S,2011,Spring 2011,Central Bay,Not surveyed,4,35097,Wet
Rat Rock Point,4/20/2011,NA,NA,Spring,2011 S,2011,Spring 2011,San Pablo Bay,Not surveyed,4,35097,Wet
Loch Lomond,4/20/2011,121.6,20.26666667,Spring,2011 S,2011,Spring 2011,Central Bay,,4,35097,Wet
Point San Quentin,4/22/2011,40,11.50072461,Spring,2011 S,2011,Spring 2011,Central Bay,,4,35097,Wet
China Camp,4/23/2011,94.4,8.415858047,Spring,2011 S,2011,Spring 2011,San Pablo Bay,,4,35097,Wet
Brickyard,4/21/2011,32,11.68474789,Spring,2011 S,2011,Spring 2011,Richardson Bay,,4,35097,Wet
Point San Quentin,4/21/2012,NA,NA,Spring,2012 S,2012,Spring 2012,Central Bay,Not surveyed,4,14173,Moderate
Point Orient,4/26/2012,374.4,109.980524,Spring,2012 S,2012,Spring 2012,Central Bay,Not surveyed,4,14173,Moderate
Berkeley,4/25/2012,171.2,31.646941,Spring,2012 S,2012,Spring 2012,Central Bay,Not surveyed,4,14173,Moderate
Rat Rock Point,4/21/2012,NA,NA,Spring,2012 S,2012,Spring 2012,San Pablo Bay,Not surveyed,4,14173,Moderate
China Camp,4/20/2012,4.8,3.414999593,Spring,2012 S,2012,Spring 2012,San Pablo Bay,,4,14173,Moderate
Loch Lomond,5/7/2012,475.2,69.62196333,Spring,2012 S,2012,Spring 2012,Central Bay,,5,14173,Moderate
Brickyard,4/24/2012,424,45.7704417,Spring,2012 S,2012,Spring 2012,Richardson Bay,,4,14173,Moderate
Dunphy Park,5/7/2012,3.2,3.2,Spring,2012 S,2012,Spring 2012,Richardson Bay,,5,14173,Moderate
Loch Lomond,1/11/2013,1224,183.690561,Winter,2012 W,2012,Winter 2012,Central Bay,,1,14173,Moderate
Point Orient,1/11/2013,1233.6,117.344242,Winter,2012 W,2012,Winter 2012,Central Bay,,1,14173,Moderate
Brickyard,1/25/2013,353.6,47.9080601,Winter,2012 W,2012,Winter 2012,Richardson Bay,,1,14173,Moderate
China Camp,2/5/2013,6.4,4.266667,Winter,2012 W,2012,Winter 2012,San Pablo Bay,,2,14173,Moderate
Berkeley,2/7/2013,142.4,45.658442,Winter,2012 W,2012,Winter 2012,Central Bay,,2,14173,Moderate
Dunphy Park,2/8/2013,44.8,20.069214,Winter,2012 W,2012,Winter 2012,Richardson Bay,,2,14173,Moderate
Rat Rock Point,1/11/2013,NA,NA,Winter,2012 W,2012,Winter 2012,San Pablo Bay,,1,14173,Moderate
Point San Quentin,1/11/2013,NA,NA,Winter,2012 W,2012,Winter 2012,Central Bay,,1,14173,Moderate
Point San Quentin,5/1/2013,NA,NA,Spring,2013 S,2013,Spring 2013,Central Bay,Not surveyed,5,9534,Dry
Point Orient,4/26/2013,470.4,106.00327,Spring,2013 S,2013,Spring 2013,Central Bay,Not surveyed,5,9534,Dry
Berkeley,5/2/2013,451.2,57.530823,Spring,2013 S,2013,Spring 2013,Central Bay,Not surveyed,5,9534,Dry
Rat Rock Point,5/1/2013,NA,NA,Spring,2013 S,2013,Spring 2013,San Pablo Bay,Not surveyed,5,9534,Dry
China Camp,4/29/2013,3.2,2.133333333,Spring,2013 S,2013,Spring 2013,San Pablo Bay,,4,9534,Dry
Loch Lomond,5/2/2013,936,106.8332033,Spring,2013 S,2013,Spring 2013,Central Bay,,5,9534,Dry
Brickyard,5/1/2013,238.4,35.81284686,Spring,2013 S,2013,Spring 2013,Richardson Bay,,5,9534,Dry
Dunphy Park,5/1/2013,113.6,33.08816505,Spring,2013 S,2013,Spring 2013,Richardson Bay,,5,9534,Dry
Dunphy Park,12/4/2013,35.2,11.877897,Winter,2013 W,2013,Winter 2013,Richardson Bay,,12,9534,Dry
China Camp,12/4/2013,710.4,328.276956,Winter,2013 W,2013,Winter 2013,San Pablo Bay,,12,9534,Dry
Point Orient,12/3/2013,537.6,95.560475,Winter,2013 W,2013,Winter 2013,Central Bay,,12,9534,Dry
Berkeley,12/3/2013,260.8,55.325461,Winter,2013 W,2013,Winter 2013,Central Bay,,12,9534,Dry
Brickyard,11/18/2013,176,33.646529,Winter,2013 W,2013,Winter 2013,Richardson Bay,,11,9534,Dry
Loch Lomond,11/17/2013,864,91.291961,Winter,2013 W,2013,Winter 2013,Central Bay,,11,9534,Dry
Point San Quentin,12/3/2013,NA,NA,Winter,2013 W,2013,Winter 2013,Central Bay,,12,9534,Dry
Rat Rock Point,12/3/2013,NA,NA,Winter,2013 W,2013,Winter 2013,San Pablo Bay,,12,9534,Dry
Point Orient,5/16/2014,412.8,83.26834799,Spring,2014 S,2014,Spring 2014,Central Bay,,5,8059,Dry
Berkeley,5/16/2014,233.6,32.98053298,Spring,2014 S,2014,Spring 2014,Central Bay,,5,8059,Dry
Point San Quentin,5/27/2014,350.4,47.19020614,Spring,2014 S,2014,Spring 2014,Central Bay,,5,8059,Dry
Brickyard,5/27/2014,348.8,65.6151744,Spring,2014 S,2014,Spring 2014,Richardson Bay,,5,8059,Dry
China Camp,5/28/2014,1736,354.0244813,Spring,2014 S,2014,Spring 2014,San Pablo Bay,,5,8059,Dry
Loch Lomond,5/28/2014,318.4,36.98504202,Spring,2014 S,2014,Spring 2014,Central Bay,,5,8059,Dry
Rat Rock Point,5/28/2014,NA,NA,Spring,2014 S,2014,Spring 2014,San Pablo Bay,Not surveyed,5,8059,Dry
Dunphy Park,5/28/2014,68.8,15.83021022,Spring,2014 S,2014,Spring 2014,Richardson Bay,,5,8059,Dry
Point Orient,5/20/2015,139.2,31.28535334,Spring,2015 S,2015,Spring 2015,Central Bay,,5,5850,Dry
Berkeley,5/20/2015,115.2,16.49026649,Spring,2015 S,2015,Spring 2015,Central Bay,,5,5850,Dry
Brickyard,5/20/2015,115.2,18.90138149,Spring,2015 S,2015,Spring 2015,Richardson Bay,,5,5850,Dry
Dunphy Park,5/20/2015,25.6,11.48835159,Spring,2015 S,2015,Spring 2015,Richardson Bay,,5,5850,Dry
China Camp,5/21/2015,3017.6,429.1872215,Spring,2015 S,2015,Spring 2015,San Pablo Bay,,5,5850,Dry
Rat Rock Point,5/21/2015,2020.8,447.021471,Spring,2015 S,2015,Spring 2015,San Pablo Bay,,5,5850,Dry
Loch Lomond,5/21/2015,294.4,66.96254343,Spring,2015 S,2015,Spring 2015,Central Bay,,5,5850,Dry
Point San Quentin,5/21/2015,318.4,58.63999394,Spring,2015 S,2015,Spring 2015,Central Bay,,5,5850,Dry
China Camp,12/10/2015,399.1111111,96.27387706,Winter,2015 W,2015,Winter 2015,San Pablo Bay,,12,5850,Dry
Rat Rock Point,12/10/2015,213.8181818,73.70972776,Winter,2015 W,2015,Winter 2015,San Pablo Bay,,12,5850,Dry
Loch Lomond,12/11/2015,2.909090909,2.909090909,Winter,2015 W,2015,Winter 2015,Central Bay,,12,5850,Dry
Point San Quentin,12/11/2015,41.6,9.6,Winter,2015 W,2015,Winter 2015,Central Bay,,12,5850,Dry
Dunphy Park,12/11/2015,NA,NA,Winter,2015 W,2015,Winter 2015,Richardson Bay,Not surveyed,12,5850,Dry
Point Orient,12/11/2015,NA,NA,Winter,2015 W,2015,Winter 2015,Central Bay,Not surveyed,12,5850,Dry
Berkeley,12/11/2015,9.6,3.53773311,Winter,2015 W,2015,Winter 2015,Central Bay,,12,5850,Dry
Brickyard,12/11/2015,52.92307692,11.93275042,Winter,2015 W,2015,Winter 2015,Richardson Bay,,12,5850,Dry
Point Orient,5/9/2016,114.1333333,29.37278732,Spring,2016 S,2016,Spring 2016,Central Bay,,5,18241,Moderate
Point San Quentin,5/9/2016,94.4,50.28346315,Spring,2016 S,2016,Spring 2016,Central Bay,,5,18241,Moderate
Berkeley,5/9/2016,29.53846154,7.435720599,Spring,2016 S,2016,Spring 2016,Central Bay,,5,18241,Moderate
Rat Rock Point,5/10/2016,51.69230769,13.33175533,Spring,2016 S,2016,Spring 2016,San Pablo Bay,,5,18241,Moderate
Dunphy Park,5/10/2016,12,7.13506068,Spring,2016 S,2016,Spring 2016,Richardson Bay,,5,18241,Moderate
China Camp,5/11/2016,76.23529412,16.5510639,Spring,2016 S,2016,Spring 2016,San Pablo Bay,,5,18241,Moderate
Loch Lomond,5/23/2016,63.2,18.66175374,Spring,2016 S,2016,Spring 2016,Central Bay,,5,18241,Moderate
Brickyard,5/23/2016,57,18.24097951,Spring,2016 S,2016,Spring 2016,Richardson Bay,,5,18241,Moderate
Loch Lomond,1/9/2017,NA,NA,Winter,2016 W,2016,Winter 2016,Central Bay,Not surveyed,1,18241,Moderate
Berkeley,1/9/2017,NA,NA,Winter,2016 W,2016,Winter 2016,Central Bay,Not surveyed,1,18241,Moderate
Rat Rock Point,1/9/2017,NA,NA,Winter,2016 W,2016,Winter 2016,San Pablo Bay,Not surveyed,1,18241,Moderate
Dunphy Park,1/9/2017,4.8,3.414999593,Winter,2016 W,2016,Winter 2016,Richardson Bay,,1,18241,Moderate
Brickyard,1/10/2017,46.4,8.07079784,Winter,2016 W,2016,Winter 2016,Richardson Bay,,1,18241,Moderate
China Camp,1/11/2017,83.2,33.88241104,Winter,2016 W,2016,Winter 2016,San Pablo Bay,,1,18241,Moderate
Point San Quentin,1/11/2017,136,25.38240861,Winter,2016 W,2016,Winter 2016,Central Bay,,1,18241,Moderate
Point Orient,1/24/2017,252.8,53.64177477,Winter,2016 W,2016,Winter 2016,Central Bay,,1,18241,Moderate
China Camp,5/10/2017,0,0,Spring,2017 S,2017,Spring 2017,San Pablo Bay,,5,63936,Wet
Point Orient,5/30/2017,12.8,4.649492206,Spring,2017 S,2017,Spring 2017,Central Bay,,5,63936,Wet
Berkeley,5/30/2017,9.6,3.53773311,Spring,2017 S,2017,Spring 2017,Central Bay,,5,63936,Wet
Brickyard,5/30/2017,25.6,7.234485315,Spring,2017 S,2017,Spring 2017,Richardson Bay,,5,63936,Wet
Dunphy Park,5/30/2017,0,0,Spring,2017 S,2017,Spring 2017,Richardson Bay,,5,63936,Wet
Rat Rock Point,5/31/2017,0,0,Spring,2017 S,2017,Spring 2017,San Pablo Bay,,5,63936,Wet
Loch Lomond,5/31/2017,0,0,Spring,2017 S,2017,Spring 2017,Central Bay,,5,63936,Wet
Point San Quentin,5/31/2017,0,0,Spring,2017 S,2017,Spring 2017,Central Bay,,5,63936,Wet
Brickyard,12/4/2017,2.461538462,1.666469416,Winter,2017 W,2017,Winter 2017,Richardson Bay,,12,63936,Wet
Dunphy Park,12/4/2017,9.6,6.4,Winter,2017 W,2017,Winter 2017,Richardson Bay,,12,63936,Wet
China Camp,12/5/2017,0,0,Winter,2017 W,2017,Winter 2017,San Pablo Bay,,12,63936,Wet
Loch Lomond,12/5/2017,1.6,1.6,Winter,2017 W,2017,Winter 2017,Central Bay,,12,63936,Wet
Point Orient,12/5/2017,40,22.65882217,Winter,2017 W,2017,Winter 2017,Central Bay,,12,63936,Wet
Point San Quentin,12/5/2017,65.6,26.5008176,Winter,2017 W,2017,Winter 2017,Central Bay,,12,63936,Wet
Rat Rock Point,12/5/2017,NA,NA,Winter,2017 W,2017,Winter 2017,San Pablo Bay,Not surveyed,12,63936,Wet
Berkeley,12/5/2017,NA,NA,Winter,2017 W,2017,Winter 2017,Central Bay,Not surveyed,12,63936,Wet
Brickyard,5/22/2018,11.07692308,6.375495495,Spring,2018 S,2018,Spring 2018,Richardson Bay,,5,13271,Moderate
Dunphy Park,5/22/2018,28.8,18.75028889,Spring,2018 S,2018,Spring 2018,Richardson Bay,,5,13271,Moderate
Point Orient,5/30/2018,137.8461538,42.00272368,Spring,2018 S,2018,Spring 2018,Central Bay,,5,13271,Moderate
Point San Quentin,5/30/2018,176,25.79922479,Spring,2018 S,2018,Spring 2018,Central Bay,,5,13271,Moderate
Berkeley,5/30/2018,74.18181818,17.43028617,Spring,2018 S,2018,Spring 2018,Central Bay,,5,13271,Moderate
China Camp,5/31/2018,0,0,Spring,2018 S,2018,Spring 2018,San Pablo Bay,,5,13271,Moderate
Rat Rock Point,5/31/2018,12.8,8.193222131,Spring,2018 S,2018,Spring 2018,San Pablo Bay,,5,13271,Moderate
Loch Lomond,5/31/2018,9.6,3.53773311,Spring,2018 S,2018,Spring 2018,Central Bay,,5,13271,Moderate
China Camp,5/7/2019,0,0,Spring,2019 S,2019,Spring 2019,San Pablo Bay,,5,38928,Wet
Rat Rock Point,5/7/2019,13.09090909,8.580585428,Spring,2019 S,2019,Spring 2019,San Pablo Bay,,5,38928,Wet
Point San Quentin,5/7/2019,148.8,41.45273078,Spring,2019 S,2019,Spring 2019,Central Bay,,5,38928,Wet
Loch Lomond,5/8/2019,133.8181818,28.96700888,Spring,2019 S,2019,Spring 2019,Central Bay,,5,38928,Wet
Point Orient,5/9/2019,238.7692308,77.93144208,Spring,2019 S,2019,Spring 2019,Central Bay,,5,38928,Wet
Berkeley,5/9/2019,221.3333333,44.9466575,Spring,2019 S,2019,Spring 2019,Central Bay,,5,38928,Wet
Brickyard,5/23/2019,148.3636364,33.42923944,Spring,2019 S,2019,Spring 2019,Richardson Bay,,5,38928,Wet
Dunphy Park,5/24/2019,12.8,6.475742281,Spring,2019 S,2019,Spring 2019,Richardson Bay,,5,38928,Wet
Brickyard,12/10/2019,52.70588235,16.21994159,Winter,2019 W,2019,Winter 2019,Richardson Bay,,12,38928,Wet
Dunphy Park,12/10/2019,0,0,Winter,2019 W,2019,Winter 2019,Richardson Bay,,12,38928,Wet
China Camp,12/11/2019,29.17647059,29.17647059,Winter,2019 W,2019,Winter 2019,San Pablo Bay,,12,38928,Wet
Loch Lomond,12/12/2019,760,93.75902919,Winter,2019 W,2019,Winter 2019,Central Bay,,12,38928,Wet
Point San Quentin,12/12/2019,374.4,35.79298504,Winter,2019 W,2019,Winter 2019,Central Bay,,12,38928,Wet
Rat Rock Point,2/6/2020,33.6,9.963488903,Winter,2019 W,2019,Winter 2019,San Pablo Bay,,2,38928,Wet
Point Orient,2/6/2020,185.1428571,40.76505414,Winter,2019 W,2019,Winter 2019,Central Bay,,2,38928,Wet
Berkeley,2/6/2020,297.6,71.641577,Winter,2019 W,2019,Winter 2019,Central Bay,,2,38928,Wet
Point Orient,8/3/2020,NA,NA,Spring,2020 S,2020,Spring 2020,Central Bay,,8,8104,Dry
Berkeley,8/3/2020,NA,NA,Spring,2020 S,2020,Spring 2020,Central Bay,,8,8104,Dry
Point San Quentin,8/3/2020,313.6,99.35471806,Spring,2020 S,2020,Spring 2020,Central Bay,,8,8104,Dry
Brickyard,8/3/2020,45,18.54543969,Spring,2020 S,2020,Spring 2020,Richardson Bay,,8,8104,Dry
Dunphy Park,8/3/2020,0,0,Spring,2020 S,2020,Spring 2020,Richardson Bay,,8,8104,Dry
China Camp,8/4/2020,5.647058824,4.741045101,Spring,2020 S,2020,Spring 2020,San Pablo Bay,,8,8104,Dry
Rat Rock Point,8/4/2020,0,0,Spring,2020 S,2020,Spring 2020,San Pablo Bay,,8,8104,Dry
Loch Lomond,8/4/2020,457.6,70.31914549,Spring,2020 S,2020,Spring 2020,Central Bay,,8,8104,Dry
Loch Lomond,12/13/2020,291.2,40.30209731,Winter,2020 W,2020,Winter 2020,Central Bay,,12,8104,Dry
Point San Quentin,12/13/2020,284.8,80.55981904,Winter,2020 W,2020,Winter 2020,Central Bay,,12,8104,Dry
Rat Rock Point,12/14/2020,204,65.91454523,Winter,2020 W,2020,Winter 2020,San Pablo Bay,,12,8104,Dry
Point Orient,12/14/2020,197.8181818,49.86779215,Winter,2020 W,2020,Winter 2020,Central Bay,,12,8104,Dry
Brickyard,12/15/2020,23.11111111,5.209900636,Winter,2020 W,2020,Winter 2020,Richardson Bay,,12,8104,Dry
Dunphy Park,12/15/2020,4.363636364,3.119652449,Winter,2020 W,2020,Winter 2020,Richardson Bay,,12,8104,Dry
Berkeley,2/9/2021,225.1428571,53.94572538,Winter,2020 W,2020,Winter 2020,Central Bay,,2,8104,Dry
China Camp,12/14/2020,NA,NA,Winter,2020 W,2020,Winter 2020,San Pablo Bay,Not surveyed,12,8104,Dry
China Camp,4/27/2021,1102.933333,254.6366873,Spring,2021 S,2021,Spring 2021,San Pablo Bay,,4,7324,Dry
Rat Rock Point,4/27/2021,148.8,74.74472111,Spring,2021 S,2021,Spring 2021,San Pablo Bay,,4,7324,Dry
Point Orient,4/28/2021,86.15384615,21.16899225,Spring,2021 S,2021,Spring 2021,Central Bay,,4,7324,Dry
Berkeley,4/28/2021,177.4545455,43.49553031,Spring,2021 S,2021,Spring 2021,Central Bay,,4,7324,Dry
Point San Quentin,4/29/2021,100.8,23.49695016,Spring,2021 S,2021,Spring 2021,Central Bay,,4,7324,Dry
Dunphy Park,4/29/2021,2.666666667,1.7978663,Spring,2021 S,2021,Spring 2021,Richardson Bay,,4,7324,Dry
Brickyard,5/3/2021,43.73333333,15.88274495,Spring,2021 S,2021,Spring 2021,Richardson Bay,,5,7324,Dry
Loch Lomond,5/28/2021,436.8,83.41340153,Spring,2021 S,2021,Spring 2021,Central Bay,,5,7324,Dry
Brickyard,12/3/2021,112,25.36300556,Winter,2021 W,2021,Winter 2021,Richardson Bay,,12,7324,Dry
Dunphy Park,12/3/2021,22.4,12.43936404,Winter,2021 W,2021,Winter 2021,Richardson Bay,,12,7324,Dry
Point San Quentin,12/16/2021,78.4,22.93333333,Winter,2021 W,2021,Winter 2021,Central Bay,,12,7324,Dry
China Camp,12/17/2021,992,178.2778997,Winter,2021 W,2021,Winter 2021,San Pablo Bay,,12,7324,Dry
Loch Lomond,12/20/2021,334.4,44.07347401,Winter,2021 W,2021,Winter 2021,Central Bay,,12,7324,Dry
Point Orient,1/28/2022,80,24.7557768,Winter,2021 W,2021,Winter 2021,Central Bay,,1,7324,Dry
Berkeley,1/28/2022,90.18181818,14.3551183,Winter,2021 W,2021,Winter 2021,Central Bay,,1,7324,Dry
Rat Rock Point,2/1/2022,276.8,78.81973808,Winter,2021 W,2021,Winter 2021,San Pablo Bay,,2,7324,Dry
Loch Lomond,5/2/2022,246.4,53.76888815,Spring,2022 S,2022,Spring 2022,Central Bay,,5,7030,Dry
Point San Quentin,5/2/2022,92.8,24.76413177,Spring,2022 S,2022,Spring 2022,Central Bay,,5,7030,Dry
China Camp,5/3/2022,340.9230769,145.184695,Spring,2022 S,2022,Spring 2022,San Pablo Bay,,5,7030,Dry
Rat Rock Point,5/3/2022,257.2307692,57.98564741,Spring,2022 S,2022,Spring 2022,San Pablo Bay,,5,7030,Dry
Brickyard,5/3/2022,52.36363636,14.64691884,Spring,2022 S,2022,Spring 2022,Richardson Bay,,5,7030,Dry
Dunphy Park,5/3/2022,22.4,6.4,Spring,2022 S,2022,Spring 2022,Richardson Bay,,5,7030,Dry
Point Orient,6/15/2022,94.85714286,30.85714286,Spring,2022 S,2022,Spring 2022,Central Bay,,6,7030,Dry
Berkeley,6/15/2022,134.4,22.4,Spring,2022 S,2022,Spring 2022,Central Bay,,6,7030,Dry
